cajas;marcas;CLIENTES;VTAS;GRUPO
21;91;280;728;2
7;77;497;1827;1
7;49;357;1155;3
14;154;889;1757;2
14;217;1015;1771;1
21;161;1036;2422;1
14;147;532;861;2
14;210;1057;1799;1
14;63;259;735;2
14;112;742;1561;2
7;63;273;791;3
7;84;294;1204;3
14;126;847;1666;2
21;203;1295;2275;1
14;77;406;700;2
14;28;112;336;3
21;245;1407;2289;1
14;77;301;889;3
14;133;749;1330;2
28;28;119;301;2
7;49;217;469;3
14;105;476;700;2
14;56;315;833;2
7;91;413;1253;3
7;28;126;364;3
7;98;259;357;3
14;70;392;1092;1
7;98;252;469;3
7;14;56;161;3
14;63;217;497;2
14;35;168;322;2
14;28;105;266;3
14;182;931;1498;2
0;35;105;140;3
21;133;770;1407;1
14;56;350;574;2
7;49;161;630;3
7;49;301;651;3
14;28;98;224;2
28;119;455;1281;2
7;112;413;1855;3
21;168;805;1204;2
7;42;133;280;3
21;126;476;483;2
7;28;126;301;3
21;161;917;1169;2
21;98;399;553;2
21;140;742;1288;2
56;266;2009;8519;1
14;84;609;1561;1
7;35;119;294;3
7;189;1064;1330;3
7;63;280;1134;3
21;70;259;434;2
21;119;924;2205;1
14;98;294;329;3
21;28;119;154;3
14;77;210;609;3
21;189;980;1323;2
14;70;224;385;3
28;77;434;805;2
14;154;805;1071;2
21;42;168;217;2
7;287;1092;1610;3
21;84;287;574;2
7;119;434;1008;3
14;91;539;742;2
7;140;287;546;3
14;273;1232;2730;2
14;224;819;1379;2
21;280;1211;2429;1
21;245;1295;3024;1
14;224;1393;2639;1
14;175;637;2527;2
7;42;119;350;3
14;175;791;2429;2
7;63;147;133;3
14;175;756;1183;2
21;91;413;679;2
7;245;826;875;3
21;175;868;2030;1
7;287;1190;2037;3
7;56;322;504;3
7;168;595;903;3
7;105;378;546;3
21;105;525;1113;2
14;259;1449;2499;1
21;154;385;476;2
21;252;1113;1988;1
14;112;574;1323;1
7;98;371;658;3
21;119;427;714;2
14;231;1085;2408;2
14;98;420;791;2
7;70;224;616;3
7;245;938;1008;3
7;56;259;833;3
14;147;994;1736;2
14;63;182;378;2
14;217;1071;2289;2
7;63;161;336;3
14;231;1645;2870;1
14;84;308;336;3
21;217;1596;2730;1
14;63;259;511;2
14;168;819;1477;2
28;280;1414;2716;1
21;98;420;1064;2
14;224;1001;1442;2
7;49;196;882;3
7;238;840;1897;3
14;140;525;1134;2
7;161;504;1344;3
14;140;581;1057;2
14;91;357;742;3
7;112;637;1057;3
7;77;294;1022;3
14;63;294;371;3
14;189;882;2205;2
14;56;154;287;2
14;287;1589;1820;1
7;119;644;1176;3
